id,type,tweet,label
4.65351E+17,test,"@Please_See_Me as she went. â€œIt is rather marvelous, I admit. Built as a home away from home, so to speak. Somewhere I could go, like Him, ~",Literal
4.63483E+17,test,It's gonna be a great night.... #sarcasm,Sarcasm
1.22148E+17,train,There's a guy at your wife's office who possesses many of the qualities you lack.,Literal
4.73379E+17,train,@quarridors @lingmops I ran late this morning because of reading this conversation on Twitter and looking it up. #irony,Literal
4.75392E+17,test,England match abandoned due to thunder storm. Great timely advert!! #irony #EngvHon pic.twitter.com/iUJcLhhRXx,Not_enough_context
4.63045E+17,train,Yum I love when dish pit water and food goes all over me and I get sent home to shower. #MyLife #Sarcasm #ServerLife,Sarcasm
4.71738E+17,train,"Oh look, the strip isn't there. I am so happy.... #sarcasm",Sarcasm
4.72183E+17,train,Wasn't on yesterday it was so hot yesterday #Florida #this #weather #is #not #cool !!!!  #TOO #HOT !!!!!!!!,Literal
4.72031E+17,test,"The more attitude you show to people , the more they will run after you. Easy people are never sought after  #facts #Irony",Literal
4.72054E+17,train,@_mozza_ @DouglasDaniel Especially since their the ones that have been going on and on about it constantly. #irony,Not_enough_context
4.72145E+17,test,â€œ@BestOfTaurus: #Taurus: I have a huge heart that welcomes everyone.â€ù #not,Not_enough_context
4.72194E+17,train,"@SteveGarvey6 @SteveGDLA @GDLA Yo Garvey, didn't you say in that spot on GDLA that this would get done in a couple weeks, in April!! #not",Not_enough_context
4.73097E+17,train,Thinking about how i woke up without my baee or son next to mhe #not right,Literal
4.72035E+17,train,@JMessner00 So UNC must be out too huh? #irony,Not_enough_context
4.73007E+17,train,Super excited to live with some totally random kid this summer!!!!! #not,Sarcasm
4.75385E+17,train,Go to Miami to climatize. Match gets stopped for rain. #irony #EnglandVhonduras #DoUsProud,Literal
4.63511E+17,train,Oh wow just got into my dream school #sarcasm pic.twitter.com/rHcjJYRKli,Sarcasm
4.63405E+17,train,â€œ@caseykim12: MT â€œ@DWStweets: A woman's health care decisions should be made by the government. Period. #Sarcasm! pic.twitter.com/n36Ko22qeWâ€ùâ€ù,Sarcasm
4.63507E+17,train,Yeah so tonight was wonderful #sarcasm,Sarcasm
