id,type,tweet,label
4.65E+17,test,"@Please_See_Me as she went. “It is rather marvelous, I admit. Built as a home away from home, so to speak. Somewhere I could go, like Him, ~",Not Sarcasm
4.63E+17,test,It's gonna be a great night.... #sarcasm,Sarcasm
1.22E+17,train,There's a guy at your wife's office who possesses many of the qualities you lack.,Not Sarcasm
4.73E+17,train,@quarridors @lingmops I ran late this morning because of reading this conversation on Twitter and looking it up. #irony,Not Sarcasm
4.63E+17,train,Yum I love when dish pit water and food goes all over me and I get sent home to shower. #MyLife #Sarcasm #ServerLife,Sarcasm
4.72E+17,train,"Oh look, the strip isn't there. I am so happy.... #sarcasm",Sarcasm
4.72E+17,train,Wasn't on yesterday it was so hot yesterday #Florida #this #weather #is #not #cool !!!!  #TOO #HOT !!!!!!!!,Not Sarcasm
4.72E+17,test,"The more attitude you show to people , the more they will run after you. Easy people are never sought after  #facts #Irony",Not Sarcasm
4.73E+17,train,Thinking about how i woke up without my baee or son next to mhe #not right,Not Sarcasm
4.73E+17,train,Super excited to live with some totally random kid this summer!!!!! #not,Sarcasm
4.75E+17,train,Go to Miami to climatize. Match gets stopped for rain. #irony #EnglandVhonduras #DoUsProud,Not Sarcasm
4.64E+17,train,Oh wow just got into my dream school #sarcasm pic.twitter.com/rHcjJYRKli,Sarcasm
4.63E+17,train,“@caseykim12: MT “@DWStweets: A woman's health care decisions should be made by the government. Period. #Sarcasm! pic.twitter.com/n36Ko22qeW””,Sarcasm
4.64E+17,train,Yeah so tonight was wonderful #sarcasm,Sarcasm
4.63E+17,train,"@teenagesleuth - So this means they will also approve of Muslim prayers at town council meetings in Dearborn Michigan, right? #sarcasm",Not Sarcasm
4.63E+17,train,Its always darkest before the dawn - no...is it really? #sarcasm,Not Sarcasm
4.64E+17,train,And all this for a spanish exam....and sociology......oh yah it's going to be a long night. JOY! #sarcasm #ugh #letsdothis #prorastination,Not Sarcasm
4.72E+17,train,Still waiting 15 minutes past my appt time! Love doctors offices. #not,Sarcasm
4.63E+17,train,"I love finding out that I'm ""booked"" for a wrestling show via FB posts and Tweets.  #Sarcasm",Sarcasm
4.72E+17,train,Just saw a car advertising insurance get pulled over for speeding #irony,Not Sarcasm
4.60E+17,test,That awkward moment when the security guard that works for the hotel shows up 45 minutes late and smelling like pot #IFeelSoSafeNow #Sarcasm,Not Sarcasm
4.73E+17,train,@JackFultonSmith oh my god! Did you go watch the boxing?! You've kept that quiet #not,Sarcasm
4.73E+17,test,Sitting here getting picked on by my mom and boyfriend.... #LivingTheLife #Not #Bully #TheyGangUpOnMe #GettingDoubleTeamed,Not Sarcasm
4.72E+17,train,Feeling bad for those stuck in school today #not #suckit,Sarcasm
4.60E+17,train,"And of course the night I want to go to bed early, I'm wide awake....fell asleep by 11 every other night this week like a Gma tho ha! #irony",Not Sarcasm
4.72E+17,train,#Canada's #maintenance #guidelines are advisory and #not a threshold #entitlement. It ranges for #amount and #duration #IAML #USA #NYC,Not Sarcasm
4.73E+17,train,@ThreeUKSupport will pass on your replies to Hugh Davis in the ex office many thanks for your replies #NOT,Not Sarcasm
4.73E+17,train,@clitoriste i'll burn it and send the video to you #not #even #kidding,Not Sarcasm
4.73E+17,train,there's much fruit in rich man's shampoo then in poor man's meal... #irony,Not Sarcasm
4.76E+17,train,People who don't believe in evolution are Not Sarcasmly as dumb as the monkeys they came from #irony,Not Sarcasm
4.64E+17,test,What a shame I'm going to miss assembly -_-  #sarcasm,Sarcasm
4.63E+17,train,"@AllbrightNFL ...but did Mett steal crab legs?  If not, no worries! #sarcasm",Sarcasm
4.63E+17,test,"If there was a device that fit in the palm of my hand that let me talk to someone miles away, I'd definitely buy it #sarcasm #noonecalls",Sarcasm
4.76E+17,test,Couldn't have a bigger smile on my face.  Not Sarcasmly feels so good to be on vacation,Not Sarcasm
4.60E+17,train,It just keeps getting better and better! NAACP To Honor Noted Racist Donald Sterling (Again) deadspin.com/naacp-to-honor… #Irony,Sarcasm
4.73E+17,train,ik nobody is watching it or promoting it rn ... #WatchProblemOnVEVO #ihateyou #jk #no #im #not,Not Sarcasm
4.73E+17,train,@MaryamAkk itha a7d yabi na9ee7a yro7 7g Maryam she gives the best advice #not #jkjk #howisshemybestfriendlol,Sarcasm
4.73E+17,train,Feeling for you @bigrayoconnor have a mild hangover myself. Luckily I've had to take my 5yo to a party in a soft play place #tranquil #not,Sarcasm
4.73E+17,train,What's happening ? #not a lot but I like it !!!!!!!!£!,Not Sarcasm
4.73E+17,train,Everybodys looking forward to the fight bla bla bla while ill be home alone #again #funweekends #not,Not Sarcasm
4.72E+17,train,#irony - When #bowlcutcatlady is eating a Lean Cuisine that smells like a litter box full of canned cat food turds. #officelife,Not Sarcasm
4.73E+17,test,"First Capital Connect, great train service #not #london",Sarcasm
4.73E+17,train,@ingramlaw I've also noticed that each overrun is larger than the previous month's. I'm sure it's all completely unexpected. #not,Sarcasm
4.73E+17,train,Trying #not to be #fucked u  #0need to #fuck others...  #method,Not Sarcasm
4.64E+17,train,@ActlHumanBeings 2/2 ....the Tea Party would cease to exist as a political force virtually overnight.,Not Sarcasm
4.72E+17,train,Oh all the jokes about VANEK being in Minnesota are so funny #not,Sarcasm
4.64E+17,train,What?!? An elite D like Doughty takes a penalty?!? #Sarcasm,Not Sarcasm
4.63E+17,train,@Squawka Mourinho the mastermind. The greatest tactician. The best manager. #sarcasm #parkthebus,Sarcasm
4.73E+17,train,Texting because our 1 floor house is so big #not #jk,Sarcasm
4.65E+17,train,@redboardie I know as all the countries vote for their friends and neighbours so to speak we were lucky to finish so high up,Not Sarcasm
4.72E+17,train,Nothing better than watching the spelling bee on sports center #not,Sarcasm
4.72E+17,train,Surprise pt test after being home on leave for two weeks. #goarmy #NOT,Not Sarcasm
4.72E+17,train,"It's more arrogant to disagree with the ""Moetzes Gedolei Hatorah"" than it is to call yourselves ""Moetzes Gedolei Hatorah"" #irony",Not Sarcasm
4.72E+17,train,#Irony | i love this fishing story: Two anglers skewered by a blue marlin off coast of Durban j.mp/1jA468i,Not Sarcasm
4.64E+17,train,Thank you Microsoft. I appreciate how effective and not spastic Microsoft word is. #sarcasm,Sarcasm
4.72E+17,train,Facebook product director furious at Facebook’s effect on news #irony via @voxdotcom ow.ly/xoeII,Not Sarcasm
