,0,1,2,3
148,465350618891026432,train,"@Please_See_Me as she went. “It is rather marvelous, I admit. Built as a home away from home, so to speak. Somewhere I could go, like Him, ~",Literal
401,463482608261677056,test,It's gonna be a great night.... #sarcasm,Sarcasm
16,122147560646393857,train,There's a guy at your wife's office who possesses many of the qualities you lack.,Literal
262,473378650382155777,train,@quarridors @lingmops I ran late this morning because of reading this conversation on Twitter and looking it up. #irony,Literal
347,475392086226006017,train,England match abandoned due to thunder storm. Great timely advert!! #irony #EngvHon pic.twitter.com/iUJcLhhRXx,Not_enough_context
455,463044921734086656,test,Yum I love when dish pit water and food goes all over me and I get sent home to shower. #MyLife #Sarcasm #ServerLife,Sarcasm
173,471738175300190208,train,"Oh look, the strip isn't there. I am so happy.... #sarcasm",Sarcasm
369,472183153583333376,train,Wasn't on yesterday it was so hot yesterday #Florida #this #weather #is #not #cool !!!!  #TOO #HOT !!!!!!!!,Literal
13,472031226186833920,train,"The more attitude you show to people , the more they will run after you. Easy people are never sought after  #facts #Irony",Literal
115,472054024620216320,train,@_mozza_ @DouglasDaniel Especially since their the ones that have been going on and on about it constantly. #irony,Not_enough_context
351,472144637143306240,train,“@BestOfTaurus: #Taurus: I have a huge heart that welcomes everyone.” #not,Not_enough_context
118,472194090222641152,train,"@SteveGarvey6 @SteveGDLA @GDLA Yo Garvey, didn't you say in that spot on GDLA that this would get done in a couple weeks, in April!! #not",Not_enough_context
124,473097199497129984,train,Thinking about how i woke up without my baee or son next to mhe #not right,Literal
471,472035453634641920,test,@JMessner00 So UNC must be out too huh? #irony,Not_enough_context
50,473007221450604544,train,Super excited to live with some totally random kid this summer!!!!! #not,Sarcasm
247,475384991191670784,train,Go to Miami to climatize. Match gets stopped for rain. #irony #EnglandVhonduras #DoUsProud,Literal
64,463511062302564352,train,Oh wow just got into my dream school #sarcasm pic.twitter.com/rHcjJYRKli,Sarcasm
278,463404570438148097,train,“@caseykim12: MT “@DWStweets: A woman's health care decisions should be made by the government. Period. #Sarcasm! pic.twitter.com/n36Ko22qeW””,Sarcasm
203,463506885572694016,train,Yeah so tonight was wonderful #sarcasm,Sarcasm
308,463498944384106496,train,"@teenagesleuth - So this means they will also approve of Muslim prayers at town council meetings in Dearborn Michigan, right? #sarcasm",Rhetorical question
49,463211645180084224,train,Its always darkest before the dawn - no...is it really? #sarcasm,Rhetorical question
339,463013230231973888,train,Yea up the EZpass on the right #sosmart #sarcasm,Not_enough_context
395,463561766610300928,test,And all this for a spanish exam....and sociology......oh yah it's going to be a long night. JOY! #sarcasm #ugh #letsdothis #prorastination,Literal
349,471698136432672768,train,@tpolansek Is that why hog futures are collapsing today???  #sarcasm lol,Not_enough_context
219,472053789474979841,train,Still waiting 15 minutes past my appt time! Love doctors offices. #not,Sarcasm
407,463298977006620672,test,"I love finding out that I'm ""booked"" for a wrestling show via FB posts and Tweets.  #Sarcasm",Sarcasm
245,472445670326951936,train,Just saw a car advertising insurance get pulled over for speeding #irony,Literal
156,460307324003840002,train,That awkward moment when the security guard that works for the hotel shows up 45 minutes late and smelling like pot #IFeelSoSafeNow #Sarcasm,Literal
285,473072112354471936,train,@JackFultonSmith oh my god! Did you go watch the boxing?! You've kept that quiet #not,Sarcasm
261,472962555787227136,train,Sitting here getting picked on by my mom and boyfriend.... #LivingTheLife #Not #Bully #TheyGangUpOnMe #GettingDoubleTeamed,Literal
231,472472133776715776,train,"And yet, it's still called ""rush"" hour. ow.ly/i/5Kfpb #irony @MAI93thm @CommuterBoston",Not_enough_context
283,472437756656754690,train,Feeling bad for those stuck in school today #not #suckit,Sarcasm
258,459885127959838720,train,"And of course the night I want to go to bed early, I'm wide awake....fell asleep by 11 every other night this week like a Gma tho ha! #irony",Literal
142,472402245305511937,train,#Canada's #maintenance #guidelines are advisory and #not a threshold #entitlement. It ranges for #amount and #duration #IAML #USA #NYC,Literal
78,472802269084549120,train,@ThreeUKSupport will pass on your replies to Hugh Davis in the ex office many thanks for your replies #NOT,Other
371,472775377702895616,train,@clitoriste i'll burn it and send the video to you #not #even #kidding,Literal
424,472577469803794433,test,there's much fruit in rich man's shampoo then in poor man's meal... #irony,Hyperbole
