id,type,tweet,label
4.72845E+17,train,What's happening ? #not a lot but I like it !!!!!!!!Â£!,Literal
4.63562E+17,test,And all this for a spanish exam....and sociology......oh yah it's going to be a long night. JOY! #sarcasm #ugh #letsdothis #prorastination,Literal
4.72068E+17,train,@Alonzos_Paisa looks pretty hot riding his bike shirtless down mill! #NOT,Figurative
4.63369E+17,test,"Keep sharing the ""Look Up"" video on......Social Media :P #socialmedia #lookup #sarcasm",Figurative
4.63152E+17,train,"@davidtedu and #sarcasm - Iâ€™m there! Kevin, 6th grade, central coast. #caedchat",Not_enough_context
4.72827E+17,train,The crowd doing the wave in the background should make him feel a bit better. #not #mexecu,Figurative
4.72885E+17,train,@LaceUpBoxing retire on top  he'll never get another night like tonight #who will #nobody #not even floyd,Literal
4.72054E+17,train,Still waiting 15 minutes past my appt time! Love doctors offices. #not,Figurative
4.72462E+17,train,@wbir they look like a bunch of scholars that are headed to Harvard. #NOT,Figurative
4.63035E+17,train,The #Phillies 7-9 hitters today should be a tall order for Gio. #Sarcasm,Figurative
4.63419E+17,train,New shisha bar opening soon on the #CurryMile.. now that's novel! #sarcasm pic.twitter.com/r5azikiwmm,Figurative
4.64073E+17,train,"Appreciate the guy telling me, in detail, about the horror film about being stuck in a lift, while we were stuck in a lift! #not",Figurative
4.72441E+17,train,"Modi came to power by bashing Gandhi dynasty, now they are talking his partnership with Pranav Mistry like Rajiv had with Pitroda  #irony",Literal
4.72715E+17,train,Guess it's a good time to move on and make new/better friends.  Ya think you know someone... #bestfriends #not #betrayal,Literal
4.72039E+17,train,I can't believe I waited 20m for a bus only to have it be delayed by too many busses getting in each others way #Irony #MKTransport #Arriva,Literal
4.72052E+17,train,Facebook product director furious at Facebookâ€™s effect on news #irony via @voxdotcom ow.ly/xoeII,Literal
4.72782E+17,train,Pretty cool! Our music video for Call Me will be shown at Krakow Int. film festival today!! #callme #not #maybe,Literal
4.72945E+17,train,Excited for the same exact teams in the nba finals this year #not,Figurative
4.72102E+17,train,Thought of the day #Perform #under #passion #not #pressure by our own Vardhan Sir @OfficialSHQfc @8paramsingh @kripsuri @HarshitaGaur12  <3,Literal
4.71678E+17,train,Ok our food was soooooo baaddddd we couldn't finish it #sarcasm #delish #kapowrocks #mouthgasmic @KapowNoodleBar pic.twitter.com/sRGVj4ab8Q,Not_enough_context
4.72199E+17,train,Yea nice to know my own parents have my back. #not,Figurative
4.63013E+17,train,Yea up the EZpass on the right #sosmart #sarcasm,Not_enough_context
4.6537E+17,test,My phone screen is just about as shattered as all my hopes and dreams.,Figurative
4.72514E+17,test,Ok nail salon lady just burn my face off really it's okay #not #fuckingchink,Figurative
4.63002E+17,train,AYYYY Today's #NEW Liquid Crystal is here and WE'RE STUCK WITH PUZZLES! #sarcasm lmao Check it out & RT! youtu.be/NJDdTw_Vazc?a,Not_enough_context
4.72555E+17,train,Sooo shocked that the madden cover vote finals is between sherman and newton #NOT,Figurative
4.72239E+17,train,I like how Wil told me he was coming down tomorrow.. #Not @Wilrodgers,Figurative
4.72588E+17,train,Why is my dog barking this time of morning!!! Very close to having a dead dog!! #early #not #happy #dog #stupid #barking #im #tired,Not_enough_context
4.72055E+17,train,"The body becomes a doorway, so to speak, into a deeper sense of aliveness underneath the fluctuating emotions and your thinking. [21]",Figurative
4.73038E+17,train,"My doctor thinks I should cut down on salt. Yes, I need to make it to 100 while eating bland food. #Not #Duh #checkplease",Figurative
4.72382E+17,train,Back to class for me. Almost two hours of Shakespeare and Renaissance await me. Oh joy! #not,Figurative
4.72177E+17,train,It's fun to watch the #CLAVic14 conference controversy play out over twitter. Complex problem easily solved in 140 characters. #Not @CLA_web,Not_enough_context
4.62997E+17,train,"@Gbone82 At least he keeps possession well and never kicks it straight in to touch, that's the main thing #sarcasm",Figurative
4.72872E+17,test,I think I'm going to take a month or two vacation!   #not #gladihavechoicestho,Figurative
4.72984E+17,train,You know you're a dj when you leave the tables for a couple mins #not,Figurative
4.72291E+17,test,@tenajtiger says its going to be a heady 13 degs here today sundress on it is then #not back in a fleece and the plants are all hiding,Figurative
4.72555E+17,train,"Oh, @Tanisha_DaDiva. Don't feel silly. Your reaction would have been totally fine at a REAL #SurprisePressConference! #not",Figurative
4.63295E+17,train,"Well, Chrissy, if Tony said it before the election, it must be true #qanda #sarcasm",Figurative
4.63008E+17,train,Wow bazooka gum has the best jokes #sarcasm,Figurative
4.7539E+17,train,@CIA has almost a half million followers but is only following 25 ppl. #irony,Literal
4.63461E+17,train,"Well, 1st qtr goes to the refs. Nice job guys #sarcasm #pacers #lamesauce",Figurative
4.72272E+17,train,Nothing like having a panic attack out of nowhere #not,Figurative
4.73481E+17,test,"When the Fortune 500 co's profit is over $1trillion it's a sin. When the nations debt is over $1trillion , not so much. #irony",Figurative
4.63511E+17,train,Oh wow just got into my dream school #sarcasm pic.twitter.com/rHcjJYRKli,Figurative
4.63341E+17,train,dear @rahulpandita how did u come up with this brilliant conclusion? #sarcasm pic.twitter.com/n9kcmv2fb6,Not_enough_context
4.63074E+17,train,Love the staged Crosby jersey signing on NBC.  It didn't look fake at all. #Sarcasm,Figurative
4.63294E+17,train,Heart to hearts before school are always great. #Sorry #That #Was #Sarcasm,Not_enough_context
4.72318E+17,train,Seems legit. @bobbyosbornertx #tenor #irony #bluegrass #bobbyosborne #rockytop #osbornebrothers #country instagram.com/p/onfEFWIC_F/,Not_enough_context
4.63276E+17,train,So ready to go to our nice lovely school. Where everyone likes me and we can all be ourselves #sarcasm,Figurative
4.72099E+17,train,Only 1 more sleep until I take haiden to his first England match...  #not sure who's more excited! â€” feeling excited,Literal
4.72817E+17,train,I'm the oldest thing in #Revelstoke's wonderful #ModernBakery...there's your #Irony for the day.,Literal
4.7476E+17,train,â€œ@SSchultz_3: No way Jordan plays the game if he can't walk! #5-0â€ù quit making excuses... Lebron couldn't handle the heat #irony,Not_enough_context
4.72448E+17,train,@Trills_91 Dat bad? Past decade all I've been doing is working on staying awake + being present in the moment. Why haven't I noticed? #irony,Not_enough_context
4.728E+17,train,Great idea not to wear sun cream today #not #burnt,Figurative
4.72815E+17,train,@jessicaburroug2 @Lwaldrop_13 @MaddieOB7 #Not what we had hoped for @FSU_Softball but so much to be #Proud of this season. Thank you,Literal
4.63011E+17,train,@HPbasketball #raptors fans love that Joey Crawford is refereeing this game. #sarcasm,Figurative
4.72901E+17,train,#Yoganomics is #not affiliated with these #spam accounts:  @mmantra1 @meditation1988 @yogajoy11 @yogaclass4u @yogaguru5 @yogadealz36,Literal
4.72304E+17,test,@BumbleCricket @NOstra4amas haha watch the door doesn't hit you on the way out!! #chickmagnet #not,Figurative
4.7289E+17,train,"I may seem like the wrong choice to everyone else, but maybe I'm the right kind of wrong for you. #not #likeeveryother",Literal
4.72485E+17,test,#Tibet was #not 'liberated' by China but invaded & illegally occupied #trueTibet,Literal
4.6451E+17,train,"The best part of the draft is seeing how many football experts there are on Facebook & twitter. Wow, y'all! So clever. #not",Figurative
4.63013E+17,train,"Dear Snow, I'm SO glad you're back this May. I REALLY missed you in the two weeks you were gone. #sarcasm #SaidNoOneEver #yegwx",Figurative
3.99952E+17,train,It's rude to be happy in an office.,Literal
4.65362E+17,train,I'm about as confident as a wet turd.,Figurative
4.60307E+17,train,That awkward moment when the security guard that works for the hotel shows up 45 minutes late and smelling like pot #IFeelSoSafeNow #Sarcasm,Literal
4.72588E+17,train,@princessisla529 You just seem to attract them all my dear!! #luckygirl #not,Literal
4.72346E+17,train,I so wanted a little lunch nap. Tried and tried but just wouldn't happen. #naptime #not,Literal
4.72263E+17,train,Knitting needle in my foot was a nice end to my night. #not,Figurative
4.76437E+17,train,Couldn't have a bigger smile on my face.  Literally feels so good to be on vacation,Literal
4.72059E+17,train,@jakelong73 I love the 'work appropriate' designation in this question. #irony,Not_enough_context
4.63499E+17,test,Because we didn't see this coming. #RAW #Sarcasm,Figurative
4.63598E+17,train,wow i didnt realize how hungry i was until my friend asked me if i had eaten anything yet tHANKS SO MUCH JAYPEE THANK U lol #sarcasm,Literal
4.72507E+17,test,"Twitch will never load who's watching for me on any channel. It's pretty great. #not #laterman If you're watching, say hi so I know you are!",Figurative
4.72194E+17,train,"@SteveGarvey6 @SteveGDLA @GDLA Yo Garvey, didn't you say in that spot on GDLA that this would get done in a couple weeks, in April!! #not",Not_enough_context
4.72913E+17,train,I love when my mom plans pretty much a grad party for me when I had already told her I just wanted a family dinner. #not,Figurative
4.72923E+17,train,S/O to MaShawn Sims and Ja Iaintmadatcha Will for our weight loss bet...I won!!! $300!!! Drinks on me #NOT!!! #GiveMeMyMoney!!!,Figurative
4.74918E+17,test,"Some people keep a superb lawn but dirty, unkempt house. #Irony",Literal
4.74661E+17,train,@sb_67 further #irony: he just changed lanes twice without a turn signal.,Literal
